Date,Clanmate,ChestName,ChestLevel,ChestType,ChestPoints
2026-03-30,Keleth,Cursed Citadel Chest,20,Citadel,12
2026-03-30,arcael,Rare Dragon Chest,20,rare Crypt,28
2026-03-30,Keleth,Rare Dragon Chest,20,rare Crypt,28
2026-03-30,Keleth,Rare Dragon Chest,20,rare Crypt,28
2026-03-30,Safa2017,Barbarian Chest,25,Common Crypt,55
2026-03-30,Vudogore,Turtle Chest,15,epic Crypt,12
2026-03-30,Safa2017,Elegant Chest,25,Common Crypt,55
2026-03-30,Vudogore,Braided Chest,15,epic Crypt,12
2026-03-30,Safa2017,Cobra Chest,25,Common Crypt,55
2026-03-30,Vudogore,Rare Dragon Chest,20,rare Crypt,28
2026-03-30,Vudogore,Forgotten Chest,20,Common Crypt,16
2026-03-30,TurinTurambar,Orc Chest,25,Common Crypt,55
2026-03-30,martinman,Orc Chest,5,Common Crypt,0
2026-03-30,Vudogore,Bone Chest,20,Common Crypt,16
2026-03-30,arcael,Rare Dragon Chest,15,rare Crypt,8
2026-03-30,TurinTurambar,Elegant Chest,25,Common Crypt,55
2026-03-30,Sharpstone,Ancient Bastion Chest,20,epic Crypt,45
2026-03-30,nicklaus,Infernal Chest,20,Common Crypt,16
2026-03-30,martinman,Mayan Chest,5,Common Crypt,0
2026-03-30,nicklaus,Fire Chest,20,Common Crypt,16
2026-03-30,Chiarka,Bone Chest,25,Common Crypt,55
2026-03-30,nicklaus,Sand Chest,20,Common Crypt,16
2026-03-30,Chiarka,Barbarian Chest,20,Common Crypt,16
2026-03-30,Chiarka,Cobra Chest,25,Common Crypt,55
2026-03-30,nicklaus,Sand Chest,20,Common Crypt,16
2026-03-30,Eloise,Stone Chest,20,Common Crypt,16
2026-03-30,Safa2017,Chest of the Cursed,25,epic Crypt,90
2026-03-30,Chiarka,Rare Dragon Chest,20,rare Crypt,28
2026-03-30,nicklaus,White Wood Chest,20,epic Crypt,45
2026-03-30,Sharpstone,Elven Citadel Chest,15,Citadel,0
2026-03-30,nicklaus,House of Horrors Chest,20,epic Crypt,45
2026-03-30,Sharpstone,Rare Dragon Chest,15,rare Crypt,8
2026-03-30,Eloise,Infernal Chest,20,Common Crypt,16
2026-03-30,Keleth,Orc Chest,20,Common Crypt,16
2026-03-30,TurinTurambar,Sand Chest,25,Common Crypt,55
2026-03-30,Eloise,Mayan Chest,20,Common Crypt,16
2026-03-30,martinman,Elegant Chest,15,Common Crypt,0
2026-03-30,TurinTurambar,Rare Dragon Chest,30,rare Crypt,120
2026-03-30,martinman,Braided Chest,20,epic Crypt,45
2026-03-30,TurinTurambar,Rare Dragon Chest,30,rare Crypt,120
2026-03-30,arcael,Infernal Chest,20,Common Crypt,16
2026-03-30,arcael,Mayan Chest,5,Common Crypt,0
2026-03-30,Fankayel,Orc Chest,25,Common Crypt,55
2026-03-30,TurinTurambar,Rare Dragon Chest,30,rare Crypt,120
2026-03-30,Dontrius,Barbarian Chest,20,Common Crypt,16
2026-03-30,Se7en87,Bone Chest,25,Common Crypt,55
2026-03-30,TurinTurambar,Rare Dragon Chest,30,rare Crypt,120
2026-03-30,martinman,Elven Citadel Chest,15,Citadel,0
2026-03-30,Se7en87,Orc Chest,25,Common Crypt,55
2026-03-30,TurinTurambar,Rare Dragon Chest,30,rare Crypt,120
2026-03-30,Se7en87,Gladiator's Chest,0,Arena,0
2026-03-30,Se7en87,Titansteel Chest,20,epic Crypt,45
2026-03-30,TurinTurambar,Rare Dragon Chest,30,rare Crypt,120
2026-03-30,Se7en87,Ancient Warrior's Chest,20,epic Crypt,45
2026-03-30,martinman,Undead Chest,16,heroic Monster,5
2026-03-30,Fankayel,Cobra Chest,15,Common Crypt,0
2026-03-30,TurinTurambar,Rare Dragon Chest,30,rare Crypt,120
2026-03-30,Fankayel,Barbarian Chest,15,Common Crypt,0
2026-03-30,TurinTurambar,Rare Dragon Chest,30,rare Crypt,120
2026-03-30,martinman,Mayan Chest,15,Common Crypt,0
