Clanmate;Points;Fragments
Total;63392750;1800
Arvilla SK;2386100;68
Kulfon;1748400;50
TurinTurambar;1540000;44
Safa2017;1540000;44
Seven87;1329900;38
Finimini1;1243000;35
Arch;1229800;35
Sailv;1183000;34
Rain Fire;1183000;34
Eloise;1183000;34
Keleth;1183000;34
Coris;1183000;34
Dontrius;1132300;32
Vudogore;1132300;32
Shak2;1045000;30
WADA;1005550;29
Kekelv;1005550;29
nicklaus;980200;28
Tracker;980200;28
MBY;910000;26
arcael;910000;26
Andromeda;910000;26
Mel;910000;26
Defur;910000;26
Presidio de Bangu;910000;26
Harald B;910000;26
Maffy;910000;26
Shadowbringer SK;902000;26
Mel SK;878800;25
Corpas;828100;24
Ironwind;792000;22
Goku;754000;21
Elled;748000;21
Ladislaus;726700;21
seven87;704000;20
Graveleye;700000;20
silverbank haha;692900;20
Karen;684450;19
Rainterror;676000;19
Grikelv;676000;19
wodessen;676000;19
WaDa;642200;18
Malik2203;629200;18
Rza;608400;17
Fankayel;608400;17
Rambam;608400;17
StellaVist;591500;17
Bebur;585000;17
Alessa;572000;16
Donkey Muffins;572000;16
Sharpstone;552500;16
Angel;533000;15
Giulio Cesare;532350;15
corpas;528000;15
Mofym;514800;15
Meninad;507000;14
Godfather;506000;14
Lightscar;500500;14
Magnuss;494000;14
Max Mayhem;494000;14
Akhman;490100;14
Veverka;484000;14
RATTUS;455000;13
Gleladod;455000;13
Raven;455000;13
Mekil;455000;13
Heof;439400;12
Orkanio;439400;12
Cassio;435500;12
Mikashura;414050;12
kremlin;405600;12
Mohamed;405600;12
alking1;405600;12
WadA;371800;11
ZAR;371800;11
Ceciel;338000;10
Deli;318500;9
Chiarka;308000;9
Eydaen;304200;9
Paulitouno;304200;9
Arazuru;304200;9
ozin blesin;299000;8
KaLisi;286000;8
Cordanaya;279500;8
MarkoBRFla;264000;6
Earfiren;260000;6
xoana;260000;6
Legolas;260000;6
Athena;234000;6
Frostworker;202800;5
Sengul;176000;5
Oliviaa;0;0
Craiova;0;0
Deldisel;0;0
Liuchdaing;0;0
ZumiroNoia;0;0
The1;0;0
Baco;0;0
Destro;0;0
Bank2;0;0
