Clanmate;Points;Fragments
Total;4 646 517;1650
Arch;215 600;77
Seven87;146 538;52
Sailv;125 198;44
Safa2017;113 850;40
StellaVlst;110 550;39
Keleth;100 147;36
Tracker;98 000;35
TurinTurambar;94 985;34
Rain Fire;93 125;33
Mel;86 250;31
Grikelv;84 500;30
Finimini1;83 325;30
KaLisi;82 100;29
Vudogore;78 825;28
Alessa;78 705;28
Mofym;78 705;28
Ironwind;76 800;27
Ladislaus;75 990;27
Chiarka;75 352;27
Meninad;70 800;25
Maffy;70 375;25
Coris;70 131;25
Buzafym;69 300;25
Donkey Muffins;67 540;24
ozin blesin;65 600;23
nicklaus;58 399;21
ZAR;58 000;21
Rainterror;57 462;20
Godfather;56 430;20
Cassio;53 923;19
Harald B;53 550;19
Kekelv;50 372;18
The1;50 129;18
Dontrius;49 546;18
Eydaen;47 824;17
Sharpstone;47 500;17
Defur;46 925;17
ZumiroNoia;46 875;17
MarkoBRFla;46 219;16
Presidio de Bangu;45 700;16
Fankayel;45 492;16
MBY;44 700;16
Max Mayhem;44 250;16
arcael;43 875;16
kremlin;43 875;16
Bebur;43 375;15
WADA;42 500;15
Mohamed;42 050;15
Mekil;41 750;15
Elled;41 690;15
alking1;41 250;15
Shadowbringer SK;41 140;15
Raven;40 250;14
Sengul;40 168;14
Veverka;39 982;14
Mel SK;39 383;14
Shak2;39 380;14
RATTUS;39 250;14
Paulitouno;38 259;14
wodessen;36 450;13
Karen;36 381;13
Heof;35 818;13
Graveleye;34 119;12
Mikashura;33 608;12
Rambam;33 192;12
seven87;32 670;12
abdelrhman;31 150;11
Lightscar;29 525;10
Rza;29 256;10
Ceciel;28 450;10
Deli;28 375;10
Malik2203;27 642;10
WadA;27 350;10
Baco;26 625;9
Cordanaya;26 400;9
Andromeda;26 250;9
WaDa;26 653;9
Giulio Cesare;24 450;9
xoana;21 875;8
Frostworker;20 701;7
Oliviaa;20 650;7
Arazuru;20 400;7
Magnuss;20 000;7
Legolas;19 500;7
Luchdaing;18 000;6
Athena;14 750;5
Earfiren;13 850;5
Destro;11 250;4
Eloise;9 038;3
Gleladod;8 375;2
Bank1;0;0
Bank2;0;0
Orkanio;0;0
Corpas;0;0
behzaddddd;0;0
corpas;0;0
