Clanmate;Points
Se7en87;18107288
Mofym;1589355
little deldi;11264803
Arch;3746703
KaLisi;6204668
Safa2017;2902245
Malik2203;4650534
TurinTurambar;1661335
se7en87;3075216
Sir bomber;5266520
Machado;0
StellaVist;2070618
Vudogore;3013885
Donkey Muffins;2099801
Finimini1;2553106
Shadowbringer SK;3982926
WADA;729516
CARNAGE1;0
Ironwind;604995
MarkoBRFla;468854
Rain Fire;2329048
Sailv;451559
ZAR;919866
Rainterror;565309
Godfather;479808
ozin blesin;725247
Chiarka;442948
Akhman;1012790
Coris;565830
Keleth;797002
WaDa;339493
Mikashura;0
Fankayel;448154
nicklaus;1090145
Meninad;768256
Heof;604386
Deli;349110
Pantera;606993
Artsakh;539605
Csaba;0
Rza;1267161
Defur;128966
Mel SK;741901
Eloise;402336
Goku;485430
kremlin;496274
wodessen;92037
Wada;47731
WadA;90590
ImheartBeat;0
Maffy;224477
Veverka;146794
Mekil;58261
Frostworker;181147
Mel;292505
Sengul;186485
Ballage;42728
xoana;55977
MBY;0
Ladislaus;147194
Giulio Cesare;52164
Magnuss;30830
Illor;132883
Sharpstone;160000
Eydaen;243550
Bebur;209651
MAFALDA;0
Baco;156315
Cassio;111354
martinman;52996
Graveleye;91472
Chiarka SK;32878
Raven;0
Gleladod;48025
Eloise 2;33698
Earfiren;0
Athena;15449
RATTUS;84250
RAMBAM;2323794
Tracker;1016601
Dontrius;203805
Shak2;1696604
BANK2;0
Mohamed;387134
Nikola;0
Funien;1263159
Soft Grace;3070446
Lightscar;0
arcael;240311
Andromeda;0
Max Mayhem;105927
Luchdaing;0
Cordanaya;0
Presidio de Bangu;356278
Kekelv;307112
Harald B;290999
