# GeneratedAt: 2026-03-08 20:02
Clanmate,Common,Rare,Epic,Citadel,Rise of the Ancients event,Dark Omens event,Spoils of Dread event,heroic Monster,Hermes' Store,Tartaros Crypt,Total,Points
Se7en87,445,10,28,30,18,0,0,0,8,57,667,28830
se7en87,445,10,28,30,18,0,0,0,8,57,667,28830
Alessa,49,0,72,6,4,0,0,0,0,26,157,17095
KaLisi,39,8,35,1,4,0,0,0,0,47,154,5764
Arch,24,27,214,0,13,0,0,0,5,40,395,5082
Rain Fire,29,28,18,5,13,0,0,0,0,22,136,4491
Tracker,64,0,0,0,13,0,0,0,0,22,99,3426
StellaVist,124,17,42,24,13,0,0,0,5,23,267,2952
Mofym,18,11,10,1,4,0,0,0,5,32,85,2842
Mikashura,39,6,5,7,13,0,0,0,5,14,97,2645
nicklaus,27,15,12,28,13,0,0,3,5,52,158,2621
Finiminil,68,11,8,9,5,0,0,0,5,63,177,2553
Coris,35,15,15,7,13,0,0,0,4,28,119,2373
Chiarka,69,16,2,1,5,0,0,0,0,33,134,1967
Thel,38,9,25,15,13,0,0,1,5,33,142,1949
Vudogore,92,17,10,14,13,0,0,0,5,40,224,1939
WADA,107,7,14,0,39,0,0,0,0,106,293,1894
WaDa,107,7,14,0,39,0,0,0,0,106,293,1894
WadA,107,7,14,0,39,0,0,0,0,106,293,1894
TurinTurambar,52,6,8,8,13,0,0,0,5,21,117,1837
Godfather,25,5,7,0,4,0,0,0,0,34,86,1775
Paulitouno,17,3,15,0,4,0,0,0,5,7,63,1696
Buzafym,25,4,8,3,13,0,0,3,5,24,90,1642
Ladislaus,25,3,4,8,4,0,0,0,0,25,72,1631
Elled,26,5,4,3,0,0,0,0,0,34,73,1588
Sailv,22,3,5,16,13,0,0,0,5,18,90,1558
Safa2017,20,10,7,13,13,0,0,0,5,67,137,1490
ZumiroNoia,8,10,1,10,0,0,0,0,1,19,62,1476
Donkey Muffins,15,0,8,0,4,0,0,0,5,43,75,1433
Maffy,29,11,9,32,13,0,0,1,5,28,130,1354
Ironwind,35,6,169,9,13,0,0,0,0,22,260,1321
ZAR,93,4,4,4,13,0,0,1,5,40,164,1301
Malik2203,32,3,3,8,0,0,0,0,0,37,85,1266
wodessen,30,9,9,1,4,0,0,0,3,31,87,1235
ozin blesin,115,0,17,0,13,0,0,0,0,45,190,1219
Mel,21,6,4,6,13,0,0,0,2,20,75,1190
Shak2,11,0,14,0,13,0,0,0,4,29,74,1134
Rainterror,26,5,6,2,5,0,0,0,0,18,63,1080
Meninad,23,59,2,55,13,0,0,1,0,48,204,1070
Heof,23,16,6,15,0,0,0,1,5,18,85,1049
MarkoBRFla,54,2,6,4,13,0,0,0,0,45,133,946
Eloise,12,0,3,0,0,0,0,0,0,0,17,930
Raven,68,0,6,0,0,0,0,0,0,34,108,871
kremlin,29,3,7,9,13,0,0,0,5,50,119,869
Deli,42,23,4,18,13,0,0,0,2,45,147,847
Shadowbringer SK,25,7,4,0,5,0,0,0,0,36,85,805
Harald Bluetooth,18,3,2,4,0,0,0,0,0,15,42,792
xoana,16,0,9,0,9,0,0,0,1,4,39,790
abdelrhman,18,0,8,0,5,0,0,0,4,16,51,786
Bebur,28,4,8,5,13,0,0,0,0,19,80,775
Mekil,9,8,3,9,13,0,0,0,5,18,65,772
Eydaen,27,0,6,0,13,0,0,0,0,27,98,744
Kekelv,18,4,3,4,5,0,0,0,4,23,64,743
Luchdaing,31,0,9,0,5,0,0,0,5,9,62,741
Rambam,9,2,1,2,0,0,0,0,0,14,38,720
Fankayel,34,0,10,0,4,0,0,0,1,26,84,698
arcael,40,16,4,33,13,0,0,0,5,29,143,696
Mohamed,33,3,9,3,13,0,0,1,0,47,112,682
Defur,31,8,4,9,13,0,0,1,5,24,96,665
Graveleye,89,6,9,7,13,0,0,0,0,46,170,662
Mel SK,34,4,5,3,5,0,0,0,2,18,73,655
WhiteWolf,13,3,5,0,0,0,0,0,0,0,21,649
Grikelv,25,2,1,0,0,0,0,0,2,19,49,648
Frostworker,30,5,6,3,5,0,0,0,0,35,85,645
Ceciel,53,12,12,14,0,0,0,0,0,40,131,611
Sengul,40,0,6,0,0,0,0,0,0,36,84,590
KingElessar,71,2,3,0,0,0,0,0,0,45,123,565
Legolas,15,2,5,1,13,0,0,1,0,44,81,564
Giulio Cesare,16,5,5,8,0,0,0,0,0,46,91,562
Max Mayhem,15,0,0,7,13,0,0,0,0,14,49,560
Corpas,26,1,6,0,0,0,0,0,0,46,91,554
corpas,26,1,6,0,0,0,0,0,0,46,91,554
Dontrius,18,3,1,6,4,0,0,0,2,15,50,533
Magnuss,22,6,8,0,0,0,0,0,1,33,70,519
Rza,28,7,2,0,4,0,0,0,2,40,84,519
Cordanaya,36,5,4,5,0,0,0,0,3,41,94,518
Athena,38,2,7,0,4,0,0,0,0,22,73,516
Earfiren,31,13,4,12,0,0,0,0,4,37,101,512
Lightscar,16,8,4,0,0,0,0,0,0,16,45,490
Gleladod,22,6,8,6,13,0,0,0,0,14,69,440
РЎвЂ¦Р С•Р В°Р С—Р В°,8,0,4,0,4,0,0,0,2,1,19,407
Presidio de Bangu,28,4,1,4,0,0,0,1,0,48,86,406
Karen,20,2,4,0,13,0,0,0,1,12,54,374
alking1,26,3,4,1,0,0,0,0,4,44,90,366
