Clanmate,Common,Rare,Epic,Citadel,heroic Monster,Rise of the Ancients event,JГіrmungandr Shop,Epic JГіrmungandr squad,Epic Fenrir squad,Jormungandr Shop,Epic Jormungandr squad,Arachne's Swarm Epic Squad,Total,Points
Arvilla SK,3,7,287,0,35,0,0,0,6,0,1,0,340,76605
se7en87,397,17,221,25,0,26,7,0,2,3,2,1,724,25377
Se7en87,397,17,221,25,0,26,7,0,2,3,2,1,724,25377
Kulfon,2,24,130,0,0,0,4,0,1,1,6,0,171,18527
Alessa,7,80,7,3,0,4,4,0,2,1,0,0,115,11110
Arch,59,18,23,4,0,13,4,0,2,1,1,0,684,7558
Corpas,97,39,17,5,0,26,6,0,0,4,0,0,230,7231
TurinTurambar,32,32,28,30,0,13,3,0,0,2,1,0,151,6251
nicklaus,58,21,34,88,1,13,4,0,0,1,0,0,227,5268
StellaVist,103,26,53,24,1,13,4,0,0,1,1,0,244,5209
Safa2017,32,30,11,13,1,13,4,0,1,1,1,0,117,4951
Finiminil,82,23,28,1,0,13,3,0,2,2,0,0,161,4673
Rain Fire,25,16,17,23,0,13,4,0,0,1,0,0,117,4457
Vudogore,72,22,26,21,4,13,4,0,1,1,0,1,189,4265
Sailv,31,4,216,2,0,13,4,0,1,1,0,0,284,3006
Donkey Muffins,9,15,15,0,1,4,4,0,1,1,0,0,55,2960
WADA,72,37,20,3,0,26,7,0,0,3,0,0,201,2949
WaDa,72,37,20,3,0,26,7,0,0,3,0,0,201,2949
WadA,72,37,20,3,0,26,7,0,0,3,0,0,201,2949
Elled,30,5,10,0,0,4,4,0,0,1,1,0,56,2885
Rambam,30,6,2,8,1,0,3,0,0,2,0,0,61,2763
Maffy,29,16,24,30,4,5,3,0,0,2,0,0,113,2606
Heof,44,26,23,10,3,13,5,0,0,0,0,0,137,2572
wodessen,41,13,10,14,0,0,4,0,0,1,0,0,85,2501
Sharpstone,47,31,17,5,0,13,3,0,0,2,0,0,122,2418
Andromeda,27,7,25,10,0,0,4,0,0,1,0,1,90,2259
Godfather,18,11,6,7,0,5,3,0,1,2,1,0,67,2234
Mofym,21,5,6,1,1,4,3,0,0,2,0,0,51,2230
Ironwind,26,14,8,14,0,5,4,0,0,1,0,0,85,2180
Keleth,43,0,0,0,0,5,4,0,0,1,0,0,58,2155
arcael,36,4,25,21,16,13,4,0,0,1,0,0,122,2006
Thel,32,14,8,16,2,5,4,0,0,1,0,0,91,2004
