Clanmate,Common,Rare,Epic,Citadel,heroic Monster,Rise of the Ancients event,JГіrmungandr Shop,Epic JГіrmungandr squad,Epic Fenrir squad,Jormungandr Shop,Epic Jormungandr squad,Arachne's Swarm Epic Squad,Epic Inferno squad,Epic Undead squad,Dark Omens event,Shadow City,Epic Chimera squad,Total,Points
Arvilla SK,0,14,69,2,0,0,0,0,0,0,0,0,0,0,0,1,0,90,16484
Se7en87,227,10,331,22,0,26,0,0,0,0,0,0,0,0,0,0,4,632,15520
se7en87,227,10,331,22,0,26,0,0,0,0,0,0,0,0,0,0,4,632,15520
Chiarka,143,46,30,0,4,13,0,0,0,0,0,0,0,0,0,0,0,241,6015
Kulfon,3,18,24,0,0,0,0,0,0,0,0,0,0,0,0,1,7,50,5577
Finiminil,74,38,9,20,5,13,0,0,0,0,0,0,0,0,0,0,0,167,5484
MBY,11,12,87,1,0,13,0,0,0,0,0,0,0,0,0,0,0,124,5417
Mofym,49,6,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,87,4676
WADA,114,35,31,4,0,10,0,0,0,0,0,0,0,0,0,0,0,200,4495
WadA,114,35,31,4,0,10,0,0,0,0,0,0,0,0,0,0,0,200,4495
WaDa,114,35,31,4,0,10,0,0,0,0,0,0,0,0,0,0,0,200,4495
Safa2017,27,21,10,4,3,13,0,0,0,0,0,0,0,0,0,0,0,113,3793
Shak2,47,12,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,88,3786
StellaVist,84,10,42,9,0,13,0,0,0,0,0,0,0,0,0,0,0,173,3400
Sailv,23,10,15,8,0,13,0,0,0,0,0,0,0,0,0,0,0,78,3147
Rain Fire,22,29,10,11,0,13,0,0,0,0,0,0,0,0,0,0,0,115,3115
Soft Grace,56,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,69,3080
Donkey Muffins,42,1,8,0,0,13,0,0,0,0,0,0,0,0,0,0,1,71,3072
TurinTurambar,27,16,3,1,0,13,0,0,0,0,0,0,0,0,0,0,2,76,2969
ozin blesin,59,25,28,0,0,13,0,0,0,0,0,0,0,0,0,0,0,127,2888
KaLisi,7,16,13,0,1,4,0,0,0,0,0,0,0,0,0,0,1,52,2755
silver bank haha,72,3,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,96,2727
Vudogore,42,11,12,17,11,13,0,0,0,0,0,0,0,0,0,0,0,126,2673
AkhmAn,38,16,12,86,0,13,0,0,0,0,0,0,0,0,0,0,0,169,2654
Eloise,23,47,7,54,7,13,0,0,0,0,0,0,0,0,0,0,0,174,2556
