# GeneratedAt: 2026-03-30 23:41
Clanmate,Common,Rare,Epic,Citadel,heroic Monster,Rise of the Ancients event,JР“С–rmungandr Shop,Epic JР“С–rmungandr squad,Epic Fenrir squad,Jormungandr Shop,Epic Jormungandr squad,Arachne's Swarm Epic Squad,Epic Inferno squad,Epic Undead squad,Dark Omens event,Shadow City,Epic Chimera squad,Epic Basilisk squad,Total,Points
Se7en87,89,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,4995
se7en87,89,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,4995
TurinTurambar,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1493
Coris,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1447
Arch,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1210
KaLisi,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1152
Ceciel,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1048
Safa2017,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1014
Orkanio,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,857
Eloise,3,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,830
Finiminil,19,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,732
ozin blesin,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,709
AkhmAn,16,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,683
WaDa,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,624
WadA,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,624
WADA,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,624
Wada,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,624
Rain Fire,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,620
silver bank haha,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,613
StellaVist,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,607
Shadowbringer SK,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,584
Earfiren,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,537
nicklaus,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,507
Pantera,7,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,487
Gleladod,5,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,477
Sailv,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,449
Deli,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,445
wodessen,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,445
Ironwind,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,445
Rainterror,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,382
martinman,15,23,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,379
Rambam,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,330
Rza,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,326
Malik2203,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,306
Grikelv,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,291
Ladislaus,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,290
Mel,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,280
Chiarka,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,265
Cordanaya,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,245
Fankayel,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,224
Frostworker,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,212
Mohamed,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,203
Corpas1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,202
Mekil,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,200
Corpas,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,180
corpas,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,180
Dontrius,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,176
Max Mayhem,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,166
arcael,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,161
Giulio Cesare,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,160
Sharpstone,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,153
Bebur,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,153
Vudogore,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,135
Maffy,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,135
Eydaen,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,135
Mikashura,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,126
Meninad,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,126
Godfather,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,126
Raven,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,121
Shak2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113
Tracker,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110
alking1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,108
Veverka,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100
Karen,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96
Kekelv,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,92
Defur,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87
Keleth,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,84
ZAR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80
Sengul,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,73
MarkoBRFla,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71
Harald Bluetooth,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71
Cassio,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64
Andromeda,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61
kremlin,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48
RATTUS,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44
Graveleye,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16
Athena,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
Mel SK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
CRAIOVA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
Goku,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
Luchdaing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4
Seraning,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Heof,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Alessa,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
